ts,strategy,symbol,exchange,action,orderid,fill
2026-07-29 10:46:25,POV Wall-Squeeze,NIFTY04AUG2624250PE,NFO,BUY,26072900097745,148.65
2026-07-29 10:46:53,POV Wall-Squeeze,NIFTY04AUG2624200PE,NFO,BUY,26072900098005,125.45
2026-07-29 11:32:09,POV Wall-Squeeze,NIFTY04AUG2624250PE,NFO,SELL,26072900124434,145.0
2026-07-29 11:32:28,POV Wall-Squeeze,NIFTY04AUG2624200PE,NFO,SELL,26072900124564,121.3
2026-07-29 13:40:17,POV Wall-Squeeze,NIFTY04AUG2624250PE,NFO,BUY,26072900199253,139.3
2026-07-29 14:23:39,POV Wall-Squeeze,SENSEX30JUL2677700CE,BFO,BUY,26072900231286,225.25
2026-07-30 11:46:45,POV Wall-Squeeze,SENSEX30JUL2677400PE,BFO,BUY,26073000196645,33.9
2026-07-30 12:32:32,POV Wall-Squeeze,SENSEX30JUL2678000CE,BFO,BUY,26073000237904,25.8
2026-07-30 12:32:47,POV Wall-Squeeze,SENSEX30JUL2677800CE,BFO,SELL,26073000238887,81.7
2026-07-30 12:33:26,POV Wall-Squeeze,SENSEX30JUL2678000CE,BFO,SELL,26073000241701,38.2
2026-07-30 13:01:19,POV Wall-Squeeze,NIFTY04AUG2624200PE,NFO,BUY,26073000282090,79.1
2026-07-30 13:12:22,POV Wall-Squeeze,NIFTY04AUG2624200PE,NFO,SELL,26073000296962,90.0
2026-07-31 10:33:19,POV Wall-Squeeze,NIFTY04AUG2624350PE,NFO,BUY,26073100085553,99.75
2026-07-31 10:33:21,POV Wall-Squeeze,NIFTY04AUG2624300PE,NFO,BUY,26073100085573,77.85
2026-07-31 12:15:04,POV Wall-Squeeze,NIFTY04AUG2624500CE,NFO,BUY,26073100135871,40.75
2026-07-31 12:42:24,POV Wall-Squeeze,NIFTY04AUG2624500CE,NFO,SELL,26073100153315,46.2
2026-08-03 12:48:20,POV Wall-Squeeze,NIFTY04AUG2624550PE,NFO,BUY,26080300168031,53.6
2026-08-03 12:48:20,POV Wall-Squeeze,NIFTY04AUG2624550PE,NFO,SELL,26080300168036,43.6
2026-08-05 09:52:20,POV Wall-Squeeze,NIFTY11AUG2624550PE,NFO,BUY,26080500055990,96.3
2026-08-05 09:55:27,POV Wall-Squeeze,NIFTY11AUG2624550PE,NFO,SELL,26080500060496,104.2
2026-08-06 10:02:20,Judas Swing,SENSEX06AUG2678800PE,BFO,BUY,26080600077910,358.35
2026-08-06 10:02:26,Judas Swing,NIFTY11AUG2624600PE,NFO,BUY,26080600078071,109.0
2026-08-06 11:20:05,Judas Swing,SENSEX06AUG2678800PE,BFO,SELL,26080600154193,310.75
2026-08-06 11:20:13,Judas Swing,NIFTY11AUG2624600PE,NFO,SELL,26080600154360,96.0
2026-08-07 10:07:12,Judas Swing,NIFTY11AUG2624600PE,NFO,BUY,26080700055244,115.6
2026-08-07 10:18:45,Judas Swing,NIFTY11AUG2624600PE,NFO,SELL,26080700064070,127.8
2026-08-07 11:40:31,Judas Swing,NIFTY11AUG2624600PE,NFO,BUY,26080700113191,127.5
2026-08-07 11:48:02,POV Wall-Squeeze,NIFTY11AUG2624450PE,NFO,BUY,26080700115874,70.1
2026-08-07 11:51:15,POV Wall-Squeeze,NIFTY11AUG2624450PE,NFO,SELL,26080700118201,74.6
2026-08-07 14:17:02,Red Bar X-Candle,NIFTY11AUG2624550PE,NFO,BUY,26080700203942,114.7
2026-08-07 15:10:09,Judas Swing,NIFTY11AUG2624600PE,NFO,SELL,26080700235512,109.7
2026-08-07 15:10:18,Red Bar X-Candle,NIFTY11AUG2624550PE,NFO,SELL,26080700235648,87.6
