strategy,symbol,entry_ts,entry,exit,lot,net
Judas Swing,NIFTY11AUG2624600PE,2026-08-06 10:02:26,109.0,96.0,65,-860.99
Judas Swing,NIFTY11AUG2624600PE,2026-08-07 10:07:12,115.6,127.8,65,774.0148000000003
Judas Swing,NIFTY11AUG2624600PE,2026-08-07 11:40:31,127.5,109.7,65,-1175.5015999999998
Judas Swing,SENSEX06AUG2678800PE,2026-08-06 10:02:20,358.35,310.75,20,-968.0584000000005
POV Wall-Squeeze,NIFTY04AUG2624200PE,2026-07-29 10:46:53,125.45,121.3,65,-288.9965000000003
POV Wall-Squeeze,NIFTY04AUG2624200PE,2026-07-30 13:01:19,79.1,90.0,65,695.3102000000003
POV Wall-Squeeze,NIFTY04AUG2624250PE,2026-07-29 10:46:25,148.65,145.0,65,-260.1547000000004
POV Wall-Squeeze,NIFTY04AUG2624500CE,2026-07-31 12:15:04,40.75,46.2,65,347.46790000000016
POV Wall-Squeeze,NIFTY04AUG2624550PE,2026-08-03 12:48:20,53.6,43.6,65,-657.5816
POV Wall-Squeeze,NIFTY11AUG2624450PE,2026-08-07 11:48:02,70.1,74.6,65,281.2134
POV Wall-Squeeze,NIFTY11AUG2624550PE,2026-08-05 09:52:20,96.3,104.2,65,497.86100000000033
POV Wall-Squeeze,SENSEX30JUL2678000CE,2026-07-30 12:32:32,25.8,38.2,20,246.46400000000006
Red Bar X-Candle,NIFTY11AUG2624550PE,2026-08-07 14:17:02,114.7,87.6,65,-1777.2794000000004
