ts,symbol,exchange,kind,ltp,bid,ask,spread,volume,oi,open,high,low,prev_close
2026-08-05T15:25:01.092,NIFTY,NSE_INDEX,spot,24570.2,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:25:01.722,SENSEX,BSE_INDEX,spot,78501.85,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:25:02.177,INDIAVIX,NSE_INDEX,spot,12.05,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:25:02.723,NIFTY25AUG26FUT,NFO,future,24645.0,24645.0,24647.8,2.8,2846285,12363325,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:25:03.299,SENSEX27AUG26FUT,BFO,future,78840.0,78850.0,78859.6,9.6,23380,35500,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:25:03.828,NIFTY,NSE_INDEX,spot,24570.2,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:25:04.414,SENSEX,BSE_INDEX,spot,78501.85,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:25:04.943,INDIAVIX,NSE_INDEX,spot,12.04,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:25:05.475,NIFTY25AUG26FUT,NFO,future,24647.8,24645.0,24647.8,2.8,2846610,12363325,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:25:05.973,SENSEX27AUG26FUT,BFO,future,78840.0,78841.0,78846.0,5.0,23380,35500,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:25:06.571,NIFTY,NSE_INDEX,spot,24570.2,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:25:07.165,SENSEX,BSE_INDEX,spot,78501.85,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:25:07.675,INDIAVIX,NSE_INDEX,spot,12.04,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:25:08.226,NIFTY25AUG26FUT,NFO,future,24638.0,24635.0,24640.8,5.8,2849730,12363325,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:25:08.775,SENSEX27AUG26FUT,BFO,future,78837.0,78821.1,78824.15,3.05,23660,35500,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:25:09.342,NIFTY,NSE_INDEX,spot,24570.2,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:25:09.872,SENSEX,BSE_INDEX,spot,78501.85,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:25:10.434,INDIAVIX,NSE_INDEX,spot,12.06,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:25:10.974,NIFTY25AUG26FUT,NFO,future,24634.0,24634.0,24639.6,5.6,2850250,12363325,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:25:11.526,SENSEX27AUG26FUT,BFO,future,78821.1,78776.7,78830.55,53.85,23680,35500,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:25:12.063,NIFTY,NSE_INDEX,spot,24570.2,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:25:12.575,SENSEX,BSE_INDEX,spot,78501.85,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:25:13.172,INDIAVIX,NSE_INDEX,spot,12.09,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:25:13.670,NIFTY25AUG26FUT,NFO,future,24634.0,24634.0,24639.9,5.9,2850315,12363325,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:25:14.320,SENSEX27AUG26FUT,BFO,future,78821.1,78777.0,78839.15,62.15,23680,35500,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:25:14.834,NIFTY,NSE_INDEX,spot,24570.2,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:25:15.385,SENSEX,BSE_INDEX,spot,78501.85,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:25:15.868,INDIAVIX,NSE_INDEX,spot,12.06,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:25:16.475,NIFTY25AUG26FUT,NFO,future,24639.9,24635.9,24644.6,8.7,2850575,12363325,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:25:17.021,SENSEX27AUG26FUT,BFO,future,78821.1,78772.5,78838.55,66.05,23680,35500,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:25:17.541,NIFTY,NSE_INDEX,spot,24570.2,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:25:18.134,SENSEX,BSE_INDEX,spot,78501.85,,,,0,0,79055.38,79055.38,78285.74,78428.95
